model,prompt_type,accuracy,precision,recall,f1,parsing_failure_rate,avg_latency_sec,samples_evaluated,valid_predictions,error
microsoft/Phi-3-mini-4k-instruct,plain_text,0.84,0.8607954545454546,0.907185628742515,0.8833819241982507,0.0,0.7384621973037719,500,500,
microsoft/Phi-3-mini-4k-instruct,structured_instructions,0.812,0.7816901408450704,0.9970059880239521,0.8763157894736842,0.0,0.9184190478324891,500,500,
microsoft/Phi-3-mini-4k-instruct,json_output,0.852,0.8963414634146342,0.8802395209580839,0.8882175226586103,0.0,2.260202334880829,500,500,
Qwen/Qwen2.5-1.5B-Instruct,plain_text,0.0,0.0,0.0,0.0,1.0,1.4962816801071166,500,0,
Qwen/Qwen2.5-1.5B-Instruct,structured_instructions,0.0,0.0,0.0,0.0,1.0,1.5815287942886354,500,0,
Qwen/Qwen2.5-1.5B-Instruct,json_output,0.0,0.0,0.0,0.0,1.0,1.478712260723114,500,0,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,plain_text,0.552,0.71671388101983,0.8939929328621908,0.7955974842767295,0.18799999999999994,0.7741218605041504,500,406,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,structured_instructions,0.65,0.6701244813278008,0.9969135802469136,0.8014888337468982,0.030000000000000027,1.0357636342048644,500,485,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,json_output,0.582,0.7051597051597052,0.959866220735786,0.8130311614730878,0.15400000000000003,1.163603674888611,500,423,
microsoft/phi-2,plain_text,0.054,0.6129032258064516,0.5757575757575758,0.59375,0.894,2.2202766332626345,500,53,
microsoft/phi-2,structured_instructions,0.088,0.6307692307692307,0.640625,0.6356589147286822,0.8180000000000001,2.2972516112327575,500,91,
microsoft/phi-2,json_output,0.416,0.629757785467128,0.7368421052631579,0.6791044776119403,0.24,2.4336719312667845,500,380,
Qwen/Qwen2.5-0.5B-Instruct,plain_text,0.332,0.0,0.0,0.0,0.0,0.10633775043487549,500,500,
Qwen/Qwen2.5-0.5B-Instruct,structured_instructions,0.668,0.668,1.0,0.8009592326139089,0.0,0.11672293424606323,500,500,
Qwen/Qwen2.5-0.5B-Instruct,json_output,0.464,0.9852941176470589,0.20059880239520958,0.3333333333333333,0.0,0.7365749597549438,500,500,
HuggingFaceTB/SmolLM2-135M-Instruct,plain_text,0.338,0.6666666666666666,0.024539877300613498,0.047337278106508875,0.018000000000000016,0.46940978765487673,500,491,
HuggingFaceTB/SmolLM2-135M-Instruct,structured_instructions,0.66,0.6659919028340081,0.9850299401197605,0.7946859903381643,0.0,0.6934836134910584,500,500,
HuggingFaceTB/SmolLM2-135M-Instruct,json_output,0.42,0.7383177570093458,0.2453416149068323,0.36829836829836826,0.038000000000000034,0.6044725461006164,500,481,
HuggingFaceTB/SmolLM2-360M-Instruct,plain_text,0.676,0.6733870967741935,1.0,0.8048192771084337,0.0,0.11917250156402588,500,500,
HuggingFaceTB/SmolLM2-360M-Instruct,structured_instructions,0.668,0.668,1.0,0.8009592326139089,0.0,0.13473082065582276,500,500,
HuggingFaceTB/SmolLM2-360M-Instruct,json_output,0.396,0.6566666666666666,1.0,0.7927565392354123,0.398,0.2502494940757751,500,301,
Qwen/Qwen2.5-3B-Instruct,plain_text,0.848,0.9417808219178082,0.8233532934131736,0.878594249201278,0.0,0.5278193387985229,500,500,
Qwen/Qwen2.5-3B-Instruct,structured_instructions,0.812,0.9477611940298507,0.7604790419161677,0.8438538205980066,0.0,0.6039430432319641,500,500,
Qwen/Qwen2.5-3B-Instruct,json_output,0.814,0.951310861423221,0.7604790419161677,0.8452579034941764,0.0,1.018297176361084,500,500,
stabilityai/stablelm-2-zephyr-1_6b,plain_text,0.516,0.6943620178041543,0.9669421487603306,0.8082901554404146,0.262,7.913737586498261,500,369,
stabilityai/stablelm-2-zephyr-1_6b,structured_instructions,0.1,0.5185185185185185,0.7241379310344828,0.60431654676259,0.79,6.999023559093476,500,105,
stabilityai/stablelm-2-zephyr-1_6b,json_output,0.652,0.6653061224489796,1.0,0.7990196078431372,0.020000000000000018,7.12062545633316,500,490,
microsoft/phi-1_5,plain_text,,,,,,,0,0,"We couldn't connect to 'https://huggingface.co' to load this file, couldn't find it in the cached files and it looks like microsoft/phi-1_5 is not the path to a directory containing a file named config.json.
Checkout your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'."
microsoft/phi-1_5,structured_instructions,0.046,0.75,0.41379310344827586,0.5333333333333333,0.912,1.3610113611221313,500,44,
microsoft/phi-1_5,json_output,0.352,0.691358024691358,0.9032258064516129,0.7832167832167831,0.46199999999999997,1.543326283454895,500,269,
